date,team1,score1,team2,score2,venue,score_diff
11/14/2023,Prairie View A&M,79,Abilene Christian,74,Abilene Christian,5
11/19/2023,Fordham,45,Abilene Christian,59,Abilene Christian,-14
12/02/2023,Stephen F. Austin,79,Abilene Christian,74,Abilene Christian,5
12/06/2023,Northern Arizona,78,Abilene Christian,76,Abilene Christian,2
12/10/2023,Howard Payne,69,Abilene Christian,120,Abilene Christian,-51
12/17/2023,UTEP,82,Abilene Christian,88,Abilene Christian,-6
11/06/2023,Portland St.,62,Air Force,55,Air Force,7
11/16/2023,Lindenwood,58,Air Force,76,Air Force,-18
11/17/2023,William & Mary,71,Air Force,80,Air Force,-9
11/19/2023,Nebraska Omaha,56,Air Force,58,Air Force,-2
11/22/2023,VMI,54,Air Force,64,Air Force,-10
12/09/2023,Eastern Washington,73,Air Force,68,Air Force,5
12/21/2023,Northern Colorado,83,Air Force,79,Air Force,4
11/10/2023,Southern Miss,54,Akron,72,Akron,-18
11/14/2023,Heidelberg,56,Akron,114,Akron,-58
11/19/2023,FIU,71,Akron,77,Akron,-6
11/20/2023,Utah St.,65,Akron,62,Akron,3
11/21/2023,Drake,79,Akron,59,Akron,20
12/05/2023,Bradley,52,Akron,67,Akron,-15
12/17/2023,Miami Hamilton,45,Akron,88,Akron,-43
12/21/2023,Gardner Webb,90,Akron,94,Akron,-4
12/30/2023,St. Bonaventure,62,Akron,61,Akron,1
11/06/2023,Morehead St.,73,Alabama,105,Alabama,-32
11/10/2023,Indiana St.,80,Alabama,102,Alabama,-22
11/14/2023,South Alabama,46,Alabama,102,Alabama,-56
11/17/2023,Mercer,67,Alabama,98,Alabama,-31
11/28/2023,Clemson,85,Alabama,77,Alabama,8
12/04/2023,Arkansas St.,65,Alabama,89,Alabama,-24
12/09/2023,Purdue,92,Alabama,86,Alabama,6
12/23/2023,Eastern Kentucky,67,Alabama,111,Alabama,-44
12/30/2023,Liberty,56,Alabama,101,Alabama,-45
11/29/2023,Tennessee St.,83,Alabama A&M,85,Alabama A&M,-2
12/13/2023,UAB,93,Alabama A&M,82,Alabama A&M,11
12/16/2023,Chattanooga,88,Alabama A&M,72,Alabama A&M,16
11/14/2023,Oglethorpe,51,Alabama St.,115,Alabama St.,-64
12/03/2023,MUW,60,Alabama St.,80,Alabama St.,-20
12/19/2023,USC,79,Alabama St.,59,Alabama St.,20
11/21/2023,Army,59,Albany,62,Albany,-3
11/29/2023,Boston University,72,Albany,86,Albany,-14
